"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"astar_length_8_miconic_ps2-1-err-rate-0-5.yaml","miconic/ps2-1-err-rate-0-5","8","0","28.19","9","2.5555555555555554","True","0","0","0","16","23"
"astar_length_8_miconic_ps2-2-err-rate-0-5.yaml","miconic/ps2-2-err-rate-0-5","8","0","37.43","9","2.7777777777777777","True","0","0","0","18","25"
"astar_length_4_tidybot-opt11-strips_pp01-err-rate-0-1.yaml","tidybot-opt11-strips/pp01-err-rate-0-1","4","0","12.47","5","2","True","0","0","0","7","10"
"astar_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-1.yaml","blocks/pprobBLOCKS-4-0-err-rate-0-1","6","0","89.13","51","1.3137254901960784","True","0","0","0","18","67"
"astar_length_1_zenotravel_pp01-err-rate-0-3.yaml","zenotravel/pp01-err-rate-0-3","1","0","0.47","2","2.5","True","0","0","0","5","5"
"astar_length_1_ged-opt14-strips_pd-1-4-err-rate-0-3.yaml","ged-opt14-strips/pd-1-4-err-rate-0-3","1","0","0.13","2","0.5","True","0","0","0","1","1"
"astar_length_5_pipesworld-notankage_pp01-net1-b6-g2-err-rate-0-3.yaml","pipesworld-notankage/pp01-net1-b6-g2-err-rate-0-3","5","0","128.74","27","3.4074074074074074","True","0","0","0","68","92"
"astar_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-1","1","0","0.09","2","0.5","True","0","0","0","1","1"
"astar_length_9_miconic_ps2-4-err-rate-0-1.yaml","miconic/ps2-4-err-rate-0-1","9","0","35.26","13","2.4615384615384617","True","0","0","0","21","32"
"astar_length_8_ged-opt14-strips_pd-3-2-err-rate-0-1.yaml","ged-opt14-strips/pd-3-2-err-rate-0-1","8","0","650.03","424","1.0825471698113207","True","0","0","0","39","459"
"astar_length_1_ged-opt14-strips_pd-2-1-err-rate-0-5.yaml","ged-opt14-strips/pd-2-1-err-rate-0-5","1","0","0.12","2","0.5","True","0","0","0","1","1"
"astar_length_8_rovers_pp04-err-rate-0-1.yaml","rovers/pp04-err-rate-0-1","8","0","85.5","42","1.3571428571428572","True","0","0","0","19","57"
"astar_length_9_mprime_pprob28-err-rate-0-5.yaml","mprime/pprob28-err-rate-0-5","9","0","575.34","26","15.423076923076923","True","0","0","0","377","401"
"astar_length_4_tidybot-opt11-strips_pp01-err-rate-0-3.yaml","tidybot-opt11-strips/pp01-err-rate-0-3","4","0","11.98","5","2","True","0","0","0","7","10"
"astar_length_7_driverlog_pp01-err-rate-0-3.yaml","driverlog/pp01-err-rate-0-3","7","0","93.08","8","9.125","True","0","0","0","67","73"
