grounding method,lift_prob,search algorithm,domain class,instance_count,C_rate,C_abs,Q,max_h
G1,0.66,UCS,drivL,3,0.33,1.0,100.0,0.0
G1,0.66,UCS,fCell,18,0.61,11.0,100.0,0.0
G1,0.66,UCS,grid,3,0.33,1.0,100.0,0.0
G1,0.66,UCS,grip,3,1.0,3.0,100.0,0.0
G1,0.66,UCS,log98,3,0.67,2.0,100.0,0.0
G1,0.66,UCS,mic,18,0.61,11.0,100.0,0.0
G1,0.66,UCS,mprim,27,0.7,19.0,100.0,0.0
G1,0.66,UCS,myst,6,0.5,3.0,100.0,0.0
G1,0.66,UCS,rovs,3,1.0,3.0,100.0,0.0
G1,0.66,UCS,sat,6,1.0,6.0,100.0,0.0
G1,0.66,UCS,tpp,6,0.83,5.0,100.0,0.0
G1,0.66,UCS,zeno,9,0.67,6.0,100.0,0.0
G1,0.66,A*_FF,blks,21,0.67,14.0,85.71,5.0
G1,0.66,A*_FF,depot,3,0.33,1.0,100.0,3.0
G1,0.66,A*_FF,drivL,6,0.67,4.0,100.0,3.0
G1,0.66,A*_FF,fCell,36,0.64,23.0,95.65,7.0
G1,0.66,A*_FF,grid,3,0.33,1.0,100.0,5.0
G1,0.66,A*_FF,grip,3,1.0,3.0,100.0,4.0
G1,0.66,A*_FF,log98,3,0.67,2.0,100.0,4.0
G1,0.66,A*_FF,mic,48,0.6,29.0,96.55,4.0
G1,0.66,A*_FF,mprim,96,0.77,74.0,100.0,3.0
G1,0.66,A*_FF,myst,51,0.53,27.0,100.0,4.0
G1,0.66,A*_FF,rovs,12,1.0,12.0,100.0,6.0
G1,0.66,A*_FF,sat,9,0.89,8.0,100.0,3.0
G1,0.66,A*_FF,tpp,12,0.92,11.0,100.0,3.0
G1,0.66,A*_FF,zeno,21,0.71,15.0,100.0,4.0
G1,0.66,GBFS_FF,blks,21,0.57,12.0,100.0,5.0
G1,0.66,GBFS_FF,depot,3,0.0,0.0,,3.0
G1,0.66,GBFS_FF,drivL,6,0.67,4.0,100.0,3.0
G1,0.66,GBFS_FF,fCell,36,0.61,22.0,100.0,7.0
G1,0.66,GBFS_FF,grid,3,0.33,1.0,100.0,5.0
G1,0.66,GBFS_FF,grip,3,1.0,3.0,66.67,4.0
G1,0.66,GBFS_FF,log98,3,0.67,2.0,100.0,4.0
G1,0.66,GBFS_FF,mic,48,0.58,28.0,96.43,4.0
G1,0.66,GBFS_FF,mprim,96,0.77,74.0,100.0,3.0
